Age,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Northern Cape,Western Cape,Total
99,397,152,402,456,614,211,174,77,221,2705
100,280,113,282,306,434,162,121,45,160,1904
101,438,130,272,371,631,216,131,60,151,2400
102,130,73,227,302,347,108,83,57,183,1509
103,130,54,186,208,157,76,74,38,177,1100
104,92,49,206,186,121,76,66,45,177,1017
105,78,53,168,234,135,64,68,27,145,971
106,94,44,180,202,95,73,69,31,148,937
107,71,53,170,201,150,60,61,47,159,972
108,112,49,161,203,74,59,61,44,159,922
109,88,69,191,230,119,72,72,49,165,1056
110,109,52,227,205,121,71,87,43,188,1103
111,114,64,238,222,135,112,58,30,150,1124
112,18,2,15,21,17,7,5,1,10,98
113,10,9,12,15,4,3,1,1,5,60
114,9,2,10,16,4,5,5,4,6,63
115,8,7,17,26,14,6,4,1,11,94
116,10,2,6,19,7,6,4,-,3,56
117,12,-,8,21,2,12,3,1,6,65
118,4,1,7,11,1,2,1,1,7,37
119,18,2,11,14,3,-,1,1,7,58
120,3,3,5,30,6,2,1,-,6,57
Total,6562053,2745590,12272263,10267300,5404868,4039939,3509953,1145861,5822734,51770560
