Name of School,Level of Education,Status of School,Sponsor of School,School Institution Type_1,School Institution Type_2,School Institution Type_3,Pupil Teacher Ratio,Pupil Classroom Ratio,Pupil Toilet Ratio,Total Number of Classrooms,Boys Toilets,Girls Toilets,Total Toilets,Teachers Toilets,Total Boys,Total Girls,Total Enrolment,GOK TSC Male,GOK TSC Female,Local Authority Male,Local Authority Female,PTA BOG Male,PTA BOG Female,Others Male,Others Female,Non-Teaching Staff Male,Non-Teaching Staff Female,Province,County,District,Division,Location,Costituency,Geolocation,KODI_County
NEEMA JUNIOR ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,18.9,22,44,6,1,2,4,1,66,66,132,0,0,0,0,0,0,1,6,0,1,CENTRAL,KIAMBU,THIKA,KAMWANGI,MANGU,GATUNDU NORTH,"(-0.99747, 36.93082)",
GOODWILL JUNIOR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COAST,MOMBASA,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,"(-4.02079, 39.6055)",
KIAMBAA BRIGHT STAR JNR ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,5.8,4.1,7.3,7,2,2,0,1,0,0,29,0,0,0,0,0,0,1,4,0,0,CENTRAL,KIAMBU,KIAMBU,KIAMBAA,KIAMBAA,KIAMBAA,"(-1.16455, 36.76173)",
CHERANGANY FRIENDS ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.2,12.6,8.4,8,4,8,0,3,0,0,101,0,0,0,0,0,0,6,3,1,1,RIFT VALLEY,TRANS NZOIA,TRANS NZOIA,CHERANGANY,CHERANGANY,CHERANGANY,"(0.992585, 35.216761)",
KERETO DAY ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,13.1,16.4,21.8,8,3,3,0,2,0,0,131,0,0,0,0,0,0,7,3,2,0,RIFT VALLEY,NAROK,TRANS MARA,KEIYAN,KILGORIS,NKARARO,"(-1.076157, 34.754954)",
JOVIAL ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,UMOJA,EMBAKASI,"(-1.28058, 36.90975)",
DAROSS OXFORD PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,19.5,26.8,13.4,8,8,8,0,4,0,0,214,0,0,0,0,0,0,9,2,4,4,RIFT VALLEY,UASIN GISHU,UASIN GISHU,TURBO,ELDORET NORTH,KAMAGUT,"(0.609441, 35.151045)",
NDONGORO PRIMARY,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,31.8,25.8,19.7,16,10,11,0,6,0,0,413,3,8,0,0,2,0,0,0,1,0,CENTRAL,KIAMBU,KIAMBU,KIKUYU,KABETE,KABETE,"(-1.23269, 36.71458)",
SHARPENER CHILDRENS CENTRE - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11,11,5.5,1,1,1,0,1,7,4,11,0,0,0,0,0,0,0,1,0,0,NAIROBI,NAIROBI,NAIROBI,KASARANI,RUARAKA,KASARANI,"(-1.248647, 36.874616)",
ROCK ACADEMY PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4.3,10,15,3,1,1,0,1,0,0,30,0,0,0,0,0,0,3,4,0,1,WESTERN,BUNGOMA,BUNGOMA,KIMILILI,KIMILILI,KIMILILI,"(0.739634, 34.749663)",
HOPE GLAM ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,14,14,14,2,1,1,0,1,0,0,28,0,0,0,0,2,0,0,0,1,0,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,KAYOLE,EMBAKASI,"(-1.269801, 36.911758)",
ST TERESAS NYANGE ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,17.6,17.6,70.5,8,1,1,0,2,0,0,141,4,1,0,0,2,1,0,0,6,2,WESTERN,BUNGOMA,BUNGOMA,TONGAREN,KABUYEFWE,KIMILILI,"(0.737791, 34.895511)",
SOY PROGRESSIVE ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,8.6,30,7,1,1,0,1,0,0,60,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,UASIN GISHU,UASIN GISHU,SOY,ELDORET NORTH,SOY,"(0.684519, 35.18766)",
ELVIEW PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,12,2,2,0,2,0,0,0,0,0,0,0,0,0,3,9,3,4,RIFT VALLEY,UASIN GISHU,UASIN GISHU,KAPSARET,ELDORET SOUTH,PIONEER,"(0.508989, 35.276547)",
MT. EMORU PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,16.8,23.1,37,8,3,2,0,1,0,0,185,0,0,0,0,0,0,4,7,1,1,RIFT VALLEY,TRANS NZOIA,TRANS NZOIA,CENTRAL - TRANS NZOIA,SABOTI,MUNICIPALITY,"(1.027125, 34.996328)",
MATSANGONI ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,11.5,20.1,26.8,8,3,3,0,2,0,0,161,0,0,0,0,0,0,6,8,3,2,COAST,KILIFI,KILIFI,BAHARI,MATSANGONI,BAHARI,"(-3.388513, 39.924448)",
BELL HOUSE PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,13,13,8,4,4,0,2,0,0,104,0,0,0,0,0,0,0,0,0,3,RIFT VALLEY,NAKURU,NAKURU,BAHATI,SUBUKIA,LANET,"(-0.269774, 36.114464)",
KAHUNJA ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,10.5,14.4,8.8,8,6,7,0,2,0,0,115,0,0,0,0,0,0,5,6,0,0,RIFT VALLEY,NAKURU,NAKURU,GILGIL,NAIVASHA,KIAMBOGO,"(-0.57006, 36.12929)",
CRATER ACADEMY PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,19.5,19.5,19.5,2,1,1,0,1,0,0,39,0,0,0,0,0,0,0,2,0,0,RIFT VALLEY,NAKURU,NAKURU,NAKURU MUNI.,NAKURU TOWN,LANET,"(-0.275736, 36.074286)",
EMMA PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,14.6,24.3,31.3,9,4,3,0,1,0,0,219,0,0,0,0,0,0,6,9,3,3,RIFT VALLEY,NAKURU,NAKURU,GILGIL,NAIVASHA,GILGIL,"(-0.4878, 36.32458)",
JERUMBO ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,13.6,12.1,18.2,9,3,3,0,1,0,0,109,0,0,0,0,0,0,4,4,3,1,CENTRAL,KIRINYAGA,KIRINYAGA,GICHUGU,KIRIMA,GICHUGU,"(-0.428471, 37.30863)",
JACRIDGE PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,6.9,6.9,17.3,10,2,2,6,2,39,30,69,0,0,0,0,0,0,4,6,4,1,CENTRAL,KIAMBU,THIKA,RUIRU,RUIRU,JUJA,"(-1.160758, 36.947513)",
EXCEL ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,15.6,17.9,29.8,20,6,6,0,2,0,0,358,0,0,0,0,0,0,11,12,7,5,CENTRAL,KIAMBU,THIKA,RUIRU,RUIRU,JUJA,"(-1.201873, 36.919842)",
STEVELAND ACADEMY PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,8.6,8.6,6,7,5,5,0,1,0,0,60,0,0,0,0,0,0,4,3,0,0,CENTRAL,KIAMBU,KIAMBU,KIKUYU,KARAI,KABETE,"(-1.23072, 36.61698)",
KIMANGU PRIMARY SCH,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,40.3,21.5,0,15,0,0,0,0,0,0,322,3,5,0,0,0,0,0,0,1,0,RIFT VALLEY,NAKURU,NAKURU,RONGAI,RONGAI,RONGAI,"(-0.148262, 35.838986)",
MAKINI PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,14.7,25,33.3,56,16,26,0,6,762,637,1399,0,0,0,0,0,0,51,44,36,30,NAIROBI,NAIROBI,NAIROBI,WESTLANDS,LAVINGTON,WESTLANDS,"(-1.29322, 36.768002)",
ZAKSTAR ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,5,4,4,0,2,0,0,0,0,0,0,0,0,0,3,3,3,0,WESTERN,BUNGOMA,MT ELGON,CHEPTAIS,CHEPTAIS,MT ELGON,"(0.807472, 34.464797)",
MOGOON PRIMARY SCH,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,65.4,53.1,25.8,16,15,18,0,4,0,0,850,4,9,0,0,0,0,0,0,1,1,RIFT VALLEY,NAKURU,NAKURU,NAKURU MUNI.,NAKURU TOWN,LANET,"(-0.299761, 36.025061)",
NJIWANI PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,8,8,8,4,2,2,0,1,0,0,32,0,0,0,0,0,0,0,4,0,1,RIFT VALLEY,KAKAMEGA,UASIN GISHU,TURBO,ELDORET NORTH,NGENYILEL,"(0.602178, 34.934062)",
SALABA ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,21.7,32.5,11.8,4,5,6,0,8,0,0,130,0,0,0,0,0,0,4,2,7,3,RIFT VALLEY,ELEGEYO-MARAKWET,KEIYO,KAMARINY,KEIYO NORTH,IRONG,"(0.65154, 35.48254)",
PANPAPER PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,16.7,25,33.3,4,1,2,0,2,0,0,100,0,0,0,0,0,0,0,6,1,0,WESTERN,BUNGOMA,BUNGOMA,WEBUYE,WEBUYE,WEBUYE,"(0.593708, 34.777097)",
ROREEN JUNIOR SCH - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.2,11.2,14,10,4,4,0,2,0,0,112,0,0,0,0,0,0,4,6,4,0,NAIROBI,NAIROBI,NAIROBI,KASARANI,KASARANI,KASARANI,"(-1.230802, 36.930497)",
SKY HIGH ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,7.5,8.2,13.7,10,3,3,0,2,0,0,82,0,0,0,0,0,0,4,7,1,3,WESTERN,VIHIGA,VIHIGA,EMUHAYA,NORTH BUNYORE,EMUHAYA,"(0.04884, 34.616829)",
SANKALE ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,21.6,43.3,8,2,2,0,2,0,0,173,0,0,0,0,0,0,0,0,1,1,RIFT VALLEY,NAROK,TRANS MARA,KILGORIS,KILGORIS,OLOIBORSOITO,"(-1.00117, 34.88141)",
LISI ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,7.3,7.3,11,3,1,1,0,2,0,0,22,0,0,0,0,0,0,0,3,0,1,RIFT VALLEY,BARINGO,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,ELDAMA RAVINE,"(0.04194, 35.75383)",
HIGHWAY ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,17.4,17.4,34.8,8,2,2,0,1,0,0,139,0,0,0,0,0,0,4,4,2,1,RIFT VALLEY,KERICHO,KERICHO,BELGUT,BELGUT,WALDAI,"(-0.34229, 35.23822)",
FAATIHA' PREP SCH PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9.7,6.9,24.3,14,2,2,0,2,0,0,97,0,0,0,0,0,0,6,4,2,2,COAST,MOMBASA,MOMBASA,KISAUNI,KONGOWEA,KISAUNI,"(-4.0457, 39.688)",
MUSTARD SEED PRIMARY SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.8,15.5,24.8,16,5,5,0,5,0,0,248,0,0,0,0,0,0,11,10,14,11,RIFT VALLEY,NAKURU,NAKURU,RONGAI,RONGAI,KIAMUNYI,"(-0.270836, 36.025282)",
KANGAITA BRIGHT FIELD ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,20.7,25.3,28.5,9,3,5,0,2,0,0,228,0,0,0,0,0,0,6,5,0,0,CENTRAL,KIRINYAGA,KIRINYAGA,CENTRAL-KIRINYAGA,INOI,KERUGOYA/KUTUS,"(-0.433619, 37.265061)",
EMIT PRI SCH,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,30,15,15,2,1,1,0,1,0,0,30,1,0,0,0,0,0,0,0,0,0,RIFT VALLEY,NANDI,NANDI SOUTH,NANDI HILLS,TINDERET,CHEMILIL,"(-0.000819, 35.166076)",
WANJAMBO UPENDO PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,7.8,6.5,7.8,6,2,3,0,1,0,0,39,0,0,0,0,0,0,2,3,1,0,CENTRAL,NYANDARUA,NYANDARUA,NDARAGWA,LESHAU,NDARAGWA,"(0.038064722, 36.50702722)",
HOPE ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,13,13,13,2,1,1,0,1,0,0,26,0,0,0,0,0,0,0,2,0,0,CENTRAL,KIAMBU,KIAMBU,LIMURU,RIRONI,LIMURU,"(-1.15675, 36.64899)",
SKYVIEW EDUCATIOIN CENTER,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,22,11,11,2,1,1,0,0,13,9,22,0,0,0,0,0,0,1,0,0,0,NAIROBI,NAIROBI,NAIROBI,KASARANI,KARIOBANGI,KASARANI,"(-1.23606, 36.88384)",
WHITE COTTAGE SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,14.6,21.1,8.6,9,7,15,0,5,0,0,190,0,0,0,0,0,0,10,3,7,10,CENTRAL,KIAMBU,KIAMBU,KIAMBAA,KIHARA,KIAMBAA,"(-1.22005, 36.76183)",
ST. JUDY JUNIOR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COAST,MOMBASA,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,"(-4.02008, 39.61467)",
BLESSED HOPE PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.6,11.6,29,5,1,1,0,1,0,0,58,0,0,0,0,0,0,2,3,0,0,CENTRAL,NYERI,NYERI,KIENI WEST,GATARAKWA,KIENI,"(-0.225153333, 36.76986417)",
LIKONI VALENTINE PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,17.4,17.4,17.4,17,9,8,0,3,0,0,295,0,0,0,0,0,0,8,9,2,1,COAST,MOMBASA,MOMBASA,LIKONI,SHIKA ADABU,LIKONI,"(-4.10407, 39.64274)",
NEW VISION PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,12,16.8,21,5,2,2,0,1,0,0,84,0,0,0,0,0,0,3,4,2,2,RIFT VALLEY,HOMA BAY,UASIN GISHU,MOIBEN,ELDORET EAST,SERGOIT,"(0.647913, 35.338521)",
ST MAGDELINE PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,8.6,21.5,21.5,2,1,1,0,1,0,0,43,0,0,0,0,0,0,3,2,0,0,WESTERN,KAKAMEGA,BUTERE/MUMIAS,MATUNGU,MATUNGU,MATUNGU,"(0.438370343, 34.51250278)",
ST. JOSEPH'S ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.2,8,14,7,2,2,0,1,0,0,56,0,0,0,0,0,0,0,5,1,0,CENTRAL,MURANG'A,MARAGUA,MARAGUA,ICHAGAKI,MARAGWA,"(-0.811086, 37.11545)",
GOOD HOPE ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.2,11.2,28,5,1,1,0,1,0,0,56,0,0,0,0,0,5,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,STAREHE,HURUMA,STAREHE,"(-1.257854, 36.865963)",
KAHIA PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,11.4,12.9,10.3,8,5,5,0,5,0,0,103,0,0,0,0,0,0,4,5,3,1,CENTRAL,NYANDARUA,NYANDARUA,OL KALOU,TUMAINI,OL_KALOU,"(-0.231406, 36.276417)",
ST. PETERS' JUJA PRI. SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,11.1,14.6,14.6,16,8,8,0,3,0,0,234,0,0,0,0,0,0,8,13,18,15,CENTRAL,KIAMBU,THIKA,RUIRU,JUJA,JUJA,"(-1.105067, 37.011608)",
TANDARE JUNIOR ACA PRY SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,8.8,8.8,7,4,2,3,0,2,0,0,35,0,0,0,0,0,0,2,2,0,0,RIFT VALLEY,LAIKIPIA,LAIKIPIA,NGARUA,LAIKIPIA WEST,KINAMBA,"(0.375456, 36.28839)",
MWEA BRIGHT STAR,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,18.9,27.3,49.2,9,2,3,0,2,0,0,246,0,0,0,0,0,0,4,9,2,1,CENTRAL,KIRINYAGA,KIRINYAGA,MWEA,TEBERE,MWEA,"(-0.671861, 37.360493)",
WANGO JUNIOR ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,5,9,7.5,5,2,4,0,3,0,0,45,0,0,0,0,5,2,1,1,0,0,CENTRAL,MURANG'A,MURANGA,KAHURO,MUGOIRI,KIHARU,"(-0.761560277, 37.08563528)",
ST MICHAEL PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,2,8,2.7,1,2,1,0,1,0,0,8,0,0,0,0,0,0,0,4,0,0,CENTRAL,KIAMBU,KIAMBU,KIAMBAA,KIHARA,KIAMBAA,"(-1.21819, 36.76596)",
BEST CARE PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9.1,9.1,18.3,8,2,2,0,2,0,0,73,0,0,0,0,7,1,0,0,1,1,WESTERN,KAKAMEGA,BUTERE/MUMIAS,BUTERE,TOWNSHIP,BUTERE,"(0.221670894, 34.49807999)",
KENJI FARM PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4.9,4.3,4.9,9,4,4,0,2,0,0,39,0,0,0,0,0,0,4,4,1,1,CENTRAL,NYANDARUA,NYANDARUA,OL JORO OROK,OL JORO OROK,OL_KALOU,"(-0.093876, 36.355722)",
SOLIDARITY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,RUAI,EMBAKASI,"(-1.269031, 36.99249)",
NICKFIELD ACADEMY (PRI),PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,UMOJA,EMBAKASI,"(-1.279988, 36.899345)",
AGATHE ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.2,15.4,20.5,8,3,3,0,4,0,0,123,0,0,0,0,0,0,6,5,5,4,WESTERN,KAKAMEGA,LUGARI,LUGARI,CHEKALINI,LUGARI,"(0.61136, 34.95861)",
CHAANI PRI SCH,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,49.7,68.3,182.2,16,3,3,0,4,0,0,1093,2,19,0,0,1,0,0,0,3,1,COAST,MOMBASA,MOMBASA,CHANGAMWE,KIPEVU,CHANGAMWE,"(-4.03588, 39.62159)",
KERUGOYA ELEMENTARY HAVARD,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,10.3,13.7,10.3,3,2,2,0,1,0,0,41,0,0,0,0,0,0,2,2,1,1,CENTRAL,KIRINYAGA,KIRINYAGA,CENTRAL-KIRINYAGA,KERUGOYA,KERUGOYA/KUTUS,"(-0.496802, 37.273488)",
EMMANUEL ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,1,0.7,1,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,RIFT VALLEY,BOMET,KOIBATEK,MUMBERES,ELDAMA RAVINE,MUMBERES,"(0.00099, 35.56583)",
WAEN ACADEMY PRIMARY SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,21.8,18.2,54.5,6,1,1,0,1,0,0,109,0,0,0,0,3,2,0,0,0,1,WESTERN,BUNGOMA,BUNGOMA,KIMILILI,KIMILILI,KIMILILI,"(0.773987, 34.722341)",
PESAKA SCHOOL PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,1.3,1.3,2.5,4,1,1,0,1,0,0,5,0,0,0,0,0,0,1,3,1,1,NAIROBI,NAIROBI,NAIROBI,KASARANI,KAHAWA,KASARANI,"(-1.177733, 36.909178)",
REHEMA PRIMARY SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,BOYS ONLY,BOARDING ONLY,ORDINARY,12.2,15.3,15.3,8,8,0,0,4,0,0,122,0,0,0,0,0,0,6,4,11,1,RIFT VALLEY,NAKURU,NAKURU,NAKURU MUNI.,NAKURU TOWN,LANET,"(-0.324913, 36.007822)",
ALMOND COMPLEX ACADMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,22.8,37.1,49.5,8,3,3,0,2,0,0,297,0,0,0,0,0,0,6,7,4,3,WESTERN,BUNGOMA,BUNGOMA,KANDUYI,BUKEMBE,KANDUYI,"(0.62498, 34.65675)",
MADIRA PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,28,28,28,2,1,1,0,1,0,0,56,0,0,0,0,0,0,1,1,0,1,RIFT VALLEY,VIHIGA,UASIN GISHU,SOY,ELDORET NORTH,MOI'S BRIDGE,"(0.870259, 35.125058)",
LIMA ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4.8,9,24,8,2,1,0,1,0,0,72,0,0,0,0,0,0,7,8,0,1,RIFT VALLEY,TRANS NZOIA,TRANS NZOIA,SABOTI,SABOTI,SABOTI,"(0.918251, 34.859658)",
JOY VICTORY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.3,15.8,79,5,0,1,0,1,0,0,79,0,0,0,0,0,0,2,5,1,1,RIFT VALLEY,UASIN GISHU,UASIN GISHU,TURBO,ELDORET NORTH,KAPYEMIT,"(0.537723, 35.243088)",
FACTORY SITE SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,21.8,13.1,49,15,2,2,6,2,97,99,196,0,0,0,0,0,0,5,4,0,0,CENTRAL,KIAMBU,THIKA,KAMWANGI,GITHOBIKONI,GATUNDU NORTH,"(-0.902588, 36.803371)",
NEW KAHURI ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9,9,13.5,3,1,1,0,1,0,0,27,0,0,0,0,0,0,1,2,0,1,CENTRAL,NYERI,NYERI,MATHIRA,IRIA-INI,MATHIRA,"(-0.431744, 37.191846)",
ST JAMES MODEL PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,20.8,36.4,22.4,8,5,8,0,2,0,0,291,0,0,0,0,0,0,7,7,10,5,WESTERN,BUSIA,BUSIA,NAMBALE,NAMBALE T/SHIP,NAMBALE,"(0.454072164, 34.23995137)",
MARA ROAD ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,6.5,6.5,0,2,0,0,0,0,7,6,13,0,0,0,0,0,0,0,2,0,0,NAIROBI,NAIROBI,NAIROBI,DAGORETTI,KENYATTA/GOLF COURSE,DAGORETTI,"(-1.2971, 36.80836)",
