Name of School,Level of Education,Status of School,Sponsor of School,School Institution Type_1,School Institution Type_2,School Institution Type_3,Pupil Teacher Ratio,Pupil Classroom Ratio,Pupil Toilet Ratio,Total Number of Classrooms,Boys Toilets,Girls Toilets,Total Toilets,Teachers Toilets,Total Boys,Total Girls,Total Enrolment,GOK TSC Male,GOK TSC Female,Local Authority Male,Local Authority Female,PTA BOG Male,PTA BOG Female,Others Male,Others Female,Non-Teaching Staff Male,Non-Teaching Staff Female,Province,County,District,Division,Location,Costituency,Geolocation,KODI_County
SAVANNA ELITE COMPLEX PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,6.5,7.2,9.3,9,3,4,0,3,0,0,65,0,0,0,0,0,0,4,6,3,2,CENTRAL,NYERI,NYERI,KIENI WEST,GATARAKWA,KIENI,"(-0.194423888, 36.82701056)",
ELIZABETH MEMORIAL PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,UASIN GISHU,UASIN GISHU,KAPSARET,ELDORET SOUTH,PIONEER,"(0.487655, 35.247741)",
KATEZ PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9.7,11.3,3.4,6,10,10,0,2,0,0,68,0,0,0,0,0,0,5,2,0,0,CENTRAL,NYANDARUA,NYANDARUA,OL KALOU,NGORIKA,OL_KALOU,"(-0.286903, 36.2392847)",
NAISULA SPRINGS SCH PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,14.1,14.1,37.7,8,2,1,0,1,0,0,113,0,0,0,0,0,0,4,4,3,1,RIFT VALLEY,KAJIADO,KAJIADO,ISINYA,KAJIADO NORTH,KITENKELA,"(-1.45909, 36.9473)",
BENCIA PREP SCH - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,KASARANI,RUARAKA,KASARANI,"(-1.25244, 36.867156)",
TEHILLAH CHILDREN CENTER PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,14.6,18.3,73,8,1,1,0,1,0,0,146,0,0,0,0,4,6,0,0,1,1,NAIROBI,NAIROBI,NAIROBI,KASARANI,KARIOBANGI,KASARANI,"(-1.248538, 36.883556)",
KYAMBOGO ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,8,10.7,16,3,1,1,0,1,0,0,32,0,0,0,0,0,0,2,2,0,1,WESTERN,BUNGOMA,BUNGOMA,TONGAREN,NDALU,KIMILILI,"(0.792332, 35.031812)",
CHRENGANY HILLS PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,16.2,26.3,30,8,3,4,0,3,0,0,210,0,0,0,0,0,0,9,4,6,4,RIFT VALLEY,TRANS NZOIA,TRANS NZOIA,KAPLAMAI,CHERANGANY,SINYERERE,"(1.090973, 35.139775)",
FANA B SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,2.3,2.3,3.5,6,2,2,0,2,0,0,14,0,0,0,0,0,0,4,2,1,1,WESTERN,BUNGOMA,BUNGOMA,KANDUYI,KIBABI,KANDUYI,"(0.68535, 34.54724)",
GOOD NEWS CHILDREN CENTRE PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9,13.5,13.5,2,1,1,0,0,0,0,27,0,0,0,0,0,0,0,3,0,1,RIFT VALLEY,UASIN GISHU,UASIN GISHU,TURBO,ELDORET NORTH,KAPYEMIT,"(0.54236, 35.23817)",
EXCEL BAMBOO PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,18.8,23.9,26.3,11,5,5,0,4,126,137,263,0,0,0,0,0,0,4,10,4,2,NAIROBI,NAIROBI,NAIROBI,DAGORETTI,RIRUTA,DAGORETTI,"(-1.281198, 36.729188)",
KINGS HIGHWAY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,8.3,13.5,37.3,11,2,2,0,2,0,0,149,0,0,0,0,0,0,5,13,6,2,RIFT VALLEY,UASIN GISHU,UASIN GISHU,SOY,ELDORET NORTH,KIPLOMBE,"(0.596931, 35.226705)",
IDA STAR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,22,22,33,3,1,1,0,1,0,0,66,0,0,0,0,0,0,0,3,0,2,RIFT VALLEY,KAJIADO,KAJIADO,ISINYA,KAJIADO NORTH,KITENKELA,"(-1.4715, 36.9564)",
KIGONOR PRIMARY SCH,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,23.7,23.7,17.8,6,4,4,0,2,0,0,142,4,2,0,0,0,0,0,0,1,0,RIFT VALLEY,NAKURU,NAKURU,NAKURU MUNI.,NAKURU TOWN,LANET,"(-0.309984, 36.018503)",
TABUGA PRIMARY,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,33.4,37.6,24.1,16,13,12,0,2,0,0,602,3,15,0,0,0,0,0,0,1,1,RIFT VALLEY,NAKURU,NAKURU,BAHATI,SUBUKIA,LANET,"(-0.259618, 36.179812)",
PATEL HILL ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COAST,MOMBASA,MOMBASA,CHANGAMWE,CHANGAMWE,CHANGAMWE,"(-4.01981, 39.62104)",
HILLTOP PREP SCH PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,11.1,15.6,6.5,5,7,5,0,4,0,0,78,0,0,0,0,0,0,3,4,1,1,RIFT VALLEY,TRANS NZOIA,TRANS NZOIA,CENTRAL - TRANS NZOIA,SABOTI,KIBOMET,"(1.049935, 35.009345)",
ST. SUSAN PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,12.6,14.1,18.8,8,2,4,0,2,0,0,113,0,0,0,0,0,0,6,3,0,0,CENTRAL,NYANDARUA,NYANDARUA,OL KALOU,DUNDORI,OL_KALOU,"(-0.123823, 36.252457)",
GOMURA ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,6.7,5.2,15.7,9,2,1,0,1,0,0,47,0,0,0,0,0,0,4,3,1,2,COAST,MOMBASA,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,"(-4.02162, 39.61783)",
GRACIOUS DAY ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,INTEGRATED,7.4,10.4,26,5,1,1,0,1,27,25,52,0,0,0,0,0,0,4,3,2,1,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,KOMAROCK,EMBAKASI,"(-1.261117, 36.914383)",
BIG SIX ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0.8,1.5,1.5,2,1,1,0,0,0,0,3,0,0,0,0,0,0,2,2,0,0,RIFT VALLEY,UASIN GISHU,UASIN GISHU,SOY,ELDORET NORTH,SOY,"(0.673115, 35.161171)",
EAGLE'S NEST PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,6.2,6.2,14,9,2,2,0,1,0,0,56,0,0,0,0,0,0,6,3,1,2,CENTRAL,NYANDARUA,NYANDARUA,OL KALOU,RURII,OL_KALOU,"(-0.205561, 36.319481)",
